Designator,Mid X,Mid Y,Rotation,Layer
D1,161.8,-116.1,270.0,top
D10,140.3,-93.21,90.0,bottom
D11,140.3,-112.21,90.0,bottom
D12,161.7,-103.1,270.0,top
D2,161.9,-90.75,270.0,top
D3,100.939226,-74.076973,90.0,bottom
D4,100.954139,-93.18376,90.0,bottom
D5,100.9,-112.19,90.0,bottom
D6,120.0,-74.09,90.0,bottom
D7,119.997139,-93.134186,90.0,bottom
D8,120.013586,-112.17675,90.0,bottom
D9,140.510611,-73.984482,90.0,bottom
J1,149.585,-119.415,270.0,top
S1,91.38125,-71.1725,0.0,top
S2,110.43125,-71.1725,0.0,top
S4,91.38125,-90.2225,0.0,top
S5,110.43125,-90.2225,0.0,top
S6,129.48125,-90.2225,0.0,top
S7,91.38125,-109.2725,0.0,top
S8,110.43125,-109.2725,0.0,top
S9,129.48125,-109.2725,0.0,top
SW10,129.75,-72.6,0.0,top
U1,166.98,-72.12,270.0,top
